,digraph,inter-key,uut,ddt,userNo
63674,ns,910,1006,1031,117
63675,os,157,252,237,117
63676,st,362,493,457,117
63677,tr,-31,95,100,117
63678,ra,383,474,509,117
63679,al,230,341,321,117
63680,lo,111,201,222,117
63681,op,101,197,191,117
63682,pi,116,226,212,117
63683,it,369,520,479,117
63684,te,25,156,176,117
63685,ek,171,277,302,117
63686,zi,-9,136,94,117
63687,in,-82,79,63,117
63688,ns,-11,95,150,117
63689,os,462,548,573,117
63690,st,291,408,377,117
63691,tr,-56,75,61,117
63692,ra,347,447,478,117
63693,al,116,211,216,117
63694,lo,88,182,183,117
63695,op,197,292,291,117
63696,pi,121,216,216,117
63697,it,338,484,433,117
63698,te,-45,85,101,117
63699,ek,142,227,272,117
63700,zi,26,169,137,117
63701,in,-86,89,57,117
63702,ns,187,279,362,117
63703,os,75,201,156,117
63704,st,237,378,363,117
63705,tr,-20,90,121,117
63706,ra,317,408,427,117
63707,al,171,292,262,117
63708,lo,91,186,212,117
63709,op,96,196,191,117
63710,pi,146,247,246,117
63711,it,242,378,343,117
63712,te,-25,115,111,117
63713,ek,156,252,296,117
63714,zi,21,135,98,117
63715,in,-52,86,62,117
63716,ns,-56,41,82,117
63717,os,20,101,111,117
63718,st,262,362,343,117
63719,tr,-30,101,70,117
63720,ra,649,729,780,117
63721,al,81,166,161,117
63722,lo,71,161,156,117
63723,op,76,166,166,117
63724,pi,146,257,236,117
63725,it,378,494,489,117
63726,te,-36,95,80,117
63727,ek,307,398,438,117
63728,zi,70,235,157,117
63729,in,-82,66,83,117
63730,ns,61,163,209,117
63731,os,86,187,181,117
63732,st,242,373,343,117
63733,tr,10,125,141,117
63734,ra,332,448,447,117
63735,al,267,382,383,117
63736,lo,71,171,186,117
63737,op,101,197,201,117
63738,pi,150,251,246,117
63739,it,227,388,328,117
63740,te,25,156,186,117
63741,ek,417,507,548,117
63742,zi,131,294,226,117
63743,in,-67,69,96,117
63744,ns,-8,85,128,117
63745,os,363,488,447,117
63746,st,297,489,422,117
63747,tr,-46,95,146,117
63748,ra,579,669,720,117
63749,al,146,247,236,117
63750,lo,196,292,297,117
63751,op,106,221,202,117
63752,pi,151,256,266,117
63753,it,393,555,498,117
63754,te,-56,101,106,117
63755,ek,296,376,453,117
63756,zi,15,191,100,117
63757,in,-66,60,110,117
63758,ns,55,166,181,117
63759,os,115,195,241,117
63760,st,267,413,347,117
63761,tr,-55,81,91,117
63762,ra,310,417,446,117
63763,al,358,418,465,117
63764,lo,96,176,156,117
63765,op,116,212,196,117
63766,pi,126,236,222,117
63767,it,312,418,422,117
63768,te,116,252,222,117
63769,ek,342,422,478,117
63770,zi,35,171,118,117
63771,in,-71,50,65,117
63772,ns,-10,112,111,117
63773,os,95,211,206,117
63774,st,584,694,700,117
63775,tr,-45,96,65,117
63776,ra,855,961,996,117
63777,al,146,231,252,117
63778,lo,91,166,176,117
63779,op,116,207,191,117
63780,pi,136,231,227,117
63781,it,393,513,488,117
63782,te,-45,97,75,117
63783,ek,151,237,293,117
63784,zi,-12,128,83,117
63785,in,-77,68,63,117
63786,ns,41,149,186,117
63787,os,81,186,172,117
63788,st,302,418,407,117
63789,tr,105,206,221,117
63790,ra,232,332,333,117
63791,al,181,302,281,117
63792,lo,146,242,267,117
63793,op,131,226,227,117
63794,pi,212,333,307,117
63795,it,316,462,437,117
63796,te,60,192,206,117
63797,ek,440,518,572,117
63798,zi,10,147,106,117
63799,in,-72,35,65,117
63800,ns,150,237,257,117
63801,os,156,262,242,117
63802,st,271,412,377,117
63803,tr,-35,111,106,117
63804,ra,201,347,347,117
63805,al,96,222,242,117
63806,lo,316,421,442,117
63807,op,527,630,632,117
63808,pi,181,291,284,117
63809,it,403,559,513,117
63810,te,-5,146,151,117
63811,ek,413,533,564,117
63812,zi,61,225,157,117
63813,in,-92,71,72,117
63814,ns,235,334,398,117
63815,os,246,347,347,117
63816,st,262,403,363,117
63817,tr,-36,80,105,117
63818,ra,769,855,885,117
63819,al,147,272,233,117
63820,lo,106,171,231,117
63821,op,105,231,170,117
63822,pi,197,317,323,117
63823,it,337,459,457,117
63824,te,-51,100,71,117
63825,ek,317,408,468,117
63826,zi,131,280,216,117
63827,in,-23,88,126,117
63828,ns,141,216,252,117
63829,os,65,156,161,117
63830,st,312,463,403,117
63831,tr,-40,87,111,117
63832,ra,302,393,429,117
63833,al,151,242,242,117
63834,lo,85,161,176,117
63835,op,116,221,192,117
63836,pi,151,252,256,117
63837,it,367,498,468,117
63838,te,101,221,232,117
63839,ek,141,257,261,117
63840,zi,208,367,300,117
63841,in,-81,59,78,117
63842,ns,-8,85,132,117
63843,os,126,227,221,117
63844,st,292,417,393,117
63845,tr,-59,76,66,117
63846,ra,292,399,427,117
63847,al,129,229,236,117
63848,lo,91,182,191,117
63849,op,91,196,182,117
63850,pi,151,287,256,117
63851,it,271,417,407,117
63852,te,-29,96,117,117
63853,ek,242,327,367,117
63854,lo,83,223,191,110
63855,on,-34,72,106,110
63856,ne,-37,68,69,110
63857,el,50,159,155,110
63858,ly,6,33,115,110
63859,yw,665,771,692,110
63860,wo,9,45,115,110
63861,ol,117,222,153,110
63862,lf,43,115,148,110
63863,fy,45,118,117,110
63864,ra,53,125,158,110
63865,ag,100,209,172,110
63866,ge,5,69,114,110
63867,eq,229,338,293,110
63868,qu,5,68,114,110
63869,ui,81,188,144,110
63870,it,5,70,112,110
63871,lo,67,208,175,110
63872,on,-36,73,105,110
63873,ne,5,102,114,110
63874,el,62,167,159,110
63875,ly,29,104,134,110
63876,yw,197,306,272,110
63877,wo,5,33,114,110
63878,ol,93,201,121,110
63879,lf,6,33,114,110
63880,fy,87,194,114,110
63881,ra,52,122,155,110
63882,ag,108,216,178,110
63883,ge,6,112,114,110
63884,eq,138,247,244,110
63885,qu,6,69,115,110
63886,ui,105,177,168,110
63887,it,110,184,182,110
63888,lo,79,225,149,110
63889,oe,-41,66,105,110
63890,en,-61,7,46,110
63891,nl,96,204,164,110
63892,ly,5,68,113,110
63893,yw,191,301,254,110
63894,wo,5,67,115,110
63895,ol,67,176,129,110
63896,lf,5,66,114,110
63897,fy,47,153,108,110
63898,ra,52,121,156,110
63899,ag,134,207,203,110
63900,ge,99,203,172,110
63901,eq,126,232,230,110
63902,qu,17,89,123,110
63903,ui,100,172,172,110
63904,it,42,114,114,110
63905,lo,57,207,162,110
63906,on,-42,69,108,110
63907,ne,-64,32,47,110
63908,el,81,189,177,110
63909,ly,690,762,798,110
63910,yw,195,305,267,110
63911,wo,5,34,115,110
63912,ol,96,207,125,110
63913,lf,5,66,116,110
63914,fy,55,125,116,110
63915,ra,54,160,161,110
63916,ag,161,265,267,110
63917,ge,34,141,138,110
63918,eq,335,407,442,110
63919,qu,24,134,96,110
63920,ui,7,112,117,110
63921,it,16,86,121,110
63922,lo,71,217,179,110
63923,on,-37,70,109,110
63924,ne,-65,32,42,110
63925,el,118,227,215,110
63926,ly,818,891,927,110
63927,yw,406,515,479,110
63928,wo,6,68,115,110
63929,ol,86,191,148,110
63930,lf,63,136,168,110
63931,fy,37,111,110,110
63932,ra,47,117,151,110
63933,ag,128,201,198,110
63934,ge,33,139,106,110
63935,eq,131,237,237,110
63936,qu,5,105,111,110
63937,ui,-36,72,64,110
63938,it,5,33,113,110
63939,lo,119,267,191,110
63940,on,-40,69,108,110
63941,ne,-64,32,45,110
63942,el,434,503,530,110
63943,ly,26,98,95,110
63944,yw,270,377,342,110
63945,wo,5,68,112,110
63946,ol,62,134,125,110
63947,lf,38,110,110,110
63948,fy,38,108,110,110
63949,ra,50,120,158,110
63950,ag,98,203,168,110
63951,ge,23,94,128,110
63952,eq,145,323,216,110
63953,qu,5,68,183,110
63954,ui,89,161,152,110
63955,it,28,100,100,110
63956,lo,92,236,165,110
63957,on,-36,72,108,110
63958,ne,-39,31,69,110
63959,el,74,218,144,110
63960,ly,6,69,150,110
63961,yw,164,309,227,110
63962,wo,-36,36,109,110
63963,ol,64,172,136,110
63964,lf,-38,33,70,110
63965,fy,92,163,163,110
63966,ra,52,121,160,110
63967,ag,111,185,180,110
63968,ge,26,131,100,110
63969,eq,96,202,201,110
63970,qu,-38,33,68,110
63971,ui,79,185,150,110
63972,it,6,35,112,110
63973,fe,36,121,110,096
63974,er,49,118,134,096
63975,rn,222,296,291,096
63976,na,38,134,112,096
63977,an,5,85,101,096
63978,nd,212,281,292,096
63979,de,93,173,162,096
63980,ez,29,119,109,096
63981,le,16,96,90,096
63982,ek,365,466,445,096
63983,ka,71,194,172,096
63984,ai,36,107,159,096
63985,il,63,295,134,096
63986,li,122,207,354,096
63987,i9,377,462,462,096
63988,fe,37,125,117,096
63989,er,3,79,91,096
63990,rn,303,355,379,096
63991,na,37,118,89,096
63992,an,36,78,117,096
63993,nd,227,269,269,096
63994,de,113,196,155,096
63995,ez,-7,76,76,096
63996,le,37,117,117,096
63997,ek,430,512,510,096
63998,ka,151,231,233,096
63999,ai,77,155,157,096
64000,il,227,272,305,096
64001,li,150,231,195,096
64002,i9,455,535,536,096
64003,fe,5,85,97,096
64004,er,35,115,115,096
64005,rn,213,303,293,096
64006,na,-16,86,74,096
64007,an,39,125,141,096
64008,nd,182,256,268,096
64009,de,80,158,154,096
64010,ez,47,125,125,096
64011,le,31,109,109,096
64012,ek,359,452,437,096
64013,ka,78,188,171,096
64014,ai,62,140,172,096
64015,il,94,328,172,096
64016,li,171,265,405,096
64017,i9,265,359,359,096
64018,fe,-6,79,85,096
64019,er,25,100,110,096
64020,rn,235,319,310,096
64021,na,12,81,96,096
64022,an,28,103,97,096
64023,nd,178,247,253,096
64024,de,94,174,163,096
64025,ez,24,93,104,096
64026,le,-5,69,80,096
64027,ek,354,562,428,096
64028,ka,177,332,385,096
64029,ai,17,106,172,096
64030,il,209,299,298,096
64031,li,147,227,237,096
64032,i9,355,451,435,096
64033,fe,10,95,90,096
64034,er,6,86,91,096
64035,rn,205,290,285,096
64036,na,6,91,91,096
64037,an,10,80,95,096
64038,nd,204,273,274,096
64039,de,81,161,150,096
64040,ez,23,109,103,096
64041,le,49,134,129,096
64042,ek,209,401,294,096
64043,ka,120,274,312,096
64044,ai,-43,37,111,096
64045,il,52,291,132,096
64046,li,128,208,367,096
64047,i9,314,422,394,096
64048,fe,31,109,93,096
64049,er,47,125,125,096
64050,rn,257,385,335,096
64051,na,239,340,367,096
64052,an,466,545,567,096
64053,nd,827,917,906,096
64054,de,95,175,185,096
64055,ez,45,130,125,096
64056,le,16,125,94,096
64057,ek,390,507,499,096
64058,ka,76,204,193,096
64059,ai,55,134,183,096
64060,il,215,305,294,096
64061,li,129,209,219,096
64062,i9,535,613,615,096
64063,fe,33,113,118,096
64064,er,36,116,116,096
64065,rn,359,437,439,096
64066,na,32,110,110,096
64067,an,0,79,78,096
64068,nd,202,280,281,096
64069,de,94,172,172,096
64070,ez,31,118,109,096
64071,le,47,125,120,096
64072,ek,484,577,562,096
64073,ka,94,203,187,096
64074,ai,31,94,140,096
64075,il,91,304,154,096
64076,li,129,203,342,096
64077,i9,362,458,436,096
64078,fe,31,109,109,096
64079,er,31,109,109,096
64080,rn,328,421,406,096
64081,na,31,94,124,096
64082,an,15,93,78,096
64083,nd,219,281,297,096
64084,de,125,187,187,096
64085,ez,16,94,78,096
64086,le,15,114,90,096
64087,ek,546,640,645,096
64088,ka,140,249,234,096
64089,ai,16,96,125,096
64090,il,227,322,307,096
64091,li,119,199,214,096
64092,i9,347,438,427,096
64093,fe,25,100,100,096
64094,er,16,90,91,096
64095,rn,200,274,274,096
64096,na,33,118,107,096
64097,an,-5,80,80,096
64098,nd,175,239,260,096
64099,de,102,182,166,096
64100,ez,23,109,103,096
64101,le,41,132,109,096
64102,ek,353,449,444,096
64103,ka,94,217,190,096
64104,ai,10,90,133,096
64105,il,222,297,302,096
64106,li,122,197,197,096
64107,i9,286,382,361,096
64108,fe,-5,86,85,096
64109,er,24,98,115,096
64110,rn,225,310,299,096
64111,na,-5,85,80,096
64112,an,38,113,128,096
64113,nd,177,246,252,096
64114,de,93,162,162,096
64115,ez,29,119,98,096
64116,le,11,107,101,096
64117,ek,209,400,305,096
64118,ka,98,240,289,096
64119,ai,-16,64,126,096
64120,il,72,280,152,096
64121,li,123,203,331,096
64122,i9,350,454,430,096
64123,fe,0,78,78,096
64124,er,46,124,124,096
64125,rn,203,281,281,096
64126,na,31,125,109,096
64127,an,0,94,94,096
64128,nd,187,265,281,096
64129,de,93,171,171,096
64130,ez,32,125,110,096
64131,le,234,328,312,096
64132,ek,639,733,733,096
64133,ka,250,359,344,096
64134,ai,125,203,234,096
64135,il,670,764,748,096
64136,li,140,218,234,096
64137,i9,500,578,578,096
64138,fe,36,78,116,096
64139,er,74,116,116,096
64140,rn,264,306,306,096
64141,na,74,153,116,096
64142,an,3,79,82,096
64143,nd,188,268,264,096
64144,de,74,154,154,096
64145,ez,36,116,116,096
64146,le,74,154,116,096
64147,ek,302,384,382,096
64148,ka,150,230,232,096
64149,ai,74,154,154,096
64150,il,294,338,374,096
64151,li,149,229,193,096
64152,i9,415,495,495,096
64153,fe,10,101,106,096
64154,er,23,103,114,096
64155,rn,257,337,337,096
64156,na,10,111,90,096
64157,an,11,101,112,096
64158,nd,211,286,301,096
64159,de,104,194,179,096
64160,ez,39,135,129,096
64161,le,48,144,133,096
64162,ek,512,618,608,096
64163,ka,185,292,291,096
64164,ai,50,135,157,096
64165,il,250,346,335,096
64166,li,124,209,220,096
64167,i9,352,443,437,096
64168,fe,37,116,117,096
64169,er,3,80,82,096
64170,rn,302,382,379,096
64171,na,37,117,117,096
64172,an,3,79,83,096
64173,nd,227,307,303,096
64174,de,77,155,157,096
64175,ez,41,121,119,096
64176,le,32,113,155,096
64177,ek,341,423,422,096
64178,ka,151,231,233,096
64179,ai,37,117,117,096
64180,il,227,310,307,096
64181,li,112,193,195,096
64182,i9,454,522,535,096
64183,fe,9,87,90,096
64184,er,44,119,122,096
64185,rn,257,327,332,096
64186,na,28,113,98,096
64187,an,46,121,131,096
64188,nd,189,259,264,096
64189,de,86,179,156,096
64190,ez,23,119,116,096
64191,le,6,99,85,096
64192,ek,384,500,477,096
64193,ka,120,296,236,096
64194,ai,11,107,187,096
64195,il,134,352,230,096
64196,li,187,277,405,096
64197,i9,320,420,410,096
64198,fe,-6,76,77,096
64199,er,36,116,118,096
64200,rn,301,380,381,096
64201,na,37,117,116,096
64202,an,36,79,116,096
64203,nd,225,305,268,096
64204,de,112,154,192,096
64205,ez,74,154,116,096
64206,le,74,154,116,096
64207,ek,371,453,451,096
64208,ka,150,230,232,096
64209,ai,36,78,116,096
64210,il,263,346,305,096
64211,li,149,229,232,096
64212,i9,453,571,533,096
64213,fe,-5,86,80,096
64214,er,28,107,119,096
64215,rn,222,291,301,096
64216,na,44,123,113,096
64217,an,-5,80,74,096
64218,nd,193,268,278,096
64219,de,102,182,177,096
64220,ez,24,103,104,096
64221,le,42,127,122,096
64222,ek,336,432,421,096
64223,ka,122,250,218,096
64224,ai,10,90,138,096
64225,il,166,321,246,096
64226,li,219,304,374,096
64227,i9,305,395,390,096
64228,fe,-5,96,90,096
64229,er,34,114,135,096
64230,rn,280,365,360,096
64231,na,16,107,101,096
64232,an,16,110,107,096
64233,nd,229,298,323,096
64234,de,94,185,163,096
64235,ez,35,126,126,096
64236,le,10,101,95,096
64237,ek,535,651,626,096
64238,ka,141,242,257,096
64239,ai,16,107,117,096
64240,il,254,355,345,096
64241,li,115,199,216,096
64242,i9,333,428,417,096
64243,fe,-32,59,48,096
64244,er,65,139,156,096
64245,rn,217,291,291,096
64246,na,11,107,85,096
64247,an,10,96,106,096
64248,nd,209,284,295,096
64249,de,86,166,161,096
64250,ez,5,101,85,096
64251,le,10,100,90,096
64252,ek,339,449,429,096
64253,ka,240,340,350,096
64254,ai,31,117,131,096
64255,il,292,367,378,096
64256,li,123,203,198,096
64257,i9,299,379,379,096
64258,fe,-6,76,50,096
64259,er,37,87,119,096
64260,rn,341,424,391,096
64261,na,-6,76,77,096
64262,an,37,89,119,096
64263,nd,227,269,279,096
64264,de,113,155,155,096
64265,ez,41,121,83,096
64266,le,-6,76,77,096
64267,ek,392,487,474,096
64268,ka,189,307,284,096
64269,ai,36,117,154,096
64270,il,227,309,308,096
64271,li,113,193,195,096
64272,i9,417,497,497,096
64273,fe,-5,86,85,096
64274,er,31,116,122,096
64275,rn,284,364,369,096
64276,na,16,106,96,096
64277,an,11,86,101,096
64278,nd,187,249,262,096
64279,de,107,192,169,096
64280,ez,-5,80,80,096
64281,le,75,134,160,096
64282,ek,900,1012,959,096
64283,ka,104,183,216,096
64284,ai,93,187,172,096
64285,il,228,314,322,096
64286,li,126,205,212,096
64287,i9,321,417,400,096
64288,fe,-10,64,82,096
64289,er,36,105,110,096
64290,rn,246,326,315,096
64291,na,-22,53,58,096
64292,an,43,118,118,096
64293,nd,161,241,236,096
64294,de,71,145,151,096
64295,ez,-5,80,69,096
64296,le,64,159,138,096
64297,ek,398,488,493,096
64298,ka,100,230,190,096
64299,ai,-10,70,120,096
64300,il,219,299,299,096
64301,li,92,172,172,096
64302,i9,305,401,385,096
64303,fe,16,101,107,096
64304,er,15,109,100,096
64305,rn,239,319,333,096
64306,na,34,135,114,096
64307,an,5,91,106,096
64308,nd,208,288,294,096
64309,de,85,176,165,096
64310,ez,10,106,101,096
64311,le,16,115,109,096
64312,ek,542,638,641,096
64313,ka,182,315,278,096
64314,ai,-5,65,128,096
64315,il,242,337,312,096
64316,li,130,210,225,096
64317,i9,420,505,500,096
64318,fe,-16,75,64,096
64319,er,15,95,106,096
64320,rn,231,306,311,096
64321,na,28,113,103,096
64322,an,16,96,101,096
64323,nd,169,238,249,096
64324,de,76,151,145,096
64325,ez,10,106,85,096
64326,le,29,120,104,096
64327,ek,363,454,454,096
64328,ka,178,274,269,096
64329,ai,5,90,101,096
64330,il,236,321,321,096
64331,li,115,194,200,096
64332,i9,341,431,420,096
64333,fe,-6,76,45,096
64334,er,36,116,118,096
64335,rn,226,305,306,096
64336,na,37,116,116,096
64337,an,3,79,82,096
64338,nd,188,268,264,096
64339,de,74,154,154,096
64340,ez,36,116,116,096
64341,le,112,192,192,096
64342,ek,377,459,457,096
64343,ka,112,192,194,096
64344,ai,74,154,154,096
64345,il,264,346,344,096
64346,li,150,230,232,096
64347,i9,414,519,494,096
64348,fe,0,93,78,096
64349,er,31,94,124,096
64350,rn,249,327,312,096
64351,na,16,94,94,096
64352,an,16,94,94,096
64353,nd,187,249,265,096
64354,de,94,172,156,096
64355,ez,15,93,93,096
64356,le,28,108,114,096
64357,ek,519,610,599,096
64358,ka,154,250,245,096
64359,ai,48,110,144,096
64360,il,328,422,390,096
64361,li,140,202,234,096
64362,i9,312,406,374,096
64363,fe,-5,75,91,096
64364,er,38,123,118,096
64365,rn,285,375,370,096
64366,na,11,102,101,096
64367,an,5,90,96,096
64368,nd,214,277,299,096
64369,de,105,196,168,096
64370,ez,50,151,141,096
64371,le,71,156,167,096
64372,ek,465,561,550,096
64373,ka,107,225,203,096
64374,ai,5,79,123,096
64375,il,125,495,199,096
64376,li,135,209,505,096
64377,i9,360,455,434,096
64378,fe,-27,64,64,096
64379,er,43,125,134,096
64380,rn,234,312,316,096
64381,na,15,97,93,096
64382,an,51,131,133,096
64383,nd,193,273,273,096
64384,de,79,164,159,096
64385,ez,33,124,118,096
64386,le,5,95,91,096
64387,ek,596,705,686,096
64388,ka,152,248,261,096
64389,ai,45,124,141,096
64390,il,227,312,306,096
64391,li,110,195,195,096
64392,i9,348,426,433,096
64393,fe,37,117,117,096
64394,er,74,155,154,096
64395,rn,302,382,383,096
64396,na,37,80,117,096
64397,an,36,116,79,096
64398,nd,189,269,269,096
64399,de,75,155,155,096
64400,ez,37,117,117,096
64401,le,74,154,169,096
64402,ek,379,462,459,096
64403,ka,189,269,272,096
64404,ai,36,117,116,096
64405,il,112,308,193,096
64406,li,152,232,348,096
64407,i9,341,422,421,096
64408,fe,37,117,117,096
64409,er,36,116,116,096
64410,rn,273,356,353,096
64411,na,-6,76,77,096
64412,an,36,116,118,096
64413,nd,187,267,267,096
64414,de,74,155,154,096
64415,ez,36,116,117,096
64416,le,74,154,117,096
64417,ek,377,459,457,096
64418,ka,150,267,232,096
64419,ai,36,117,153,096
64420,il,149,344,230,096
64421,li,151,231,346,096
64422,i9,415,495,495,096
64423,fe,16,94,101,096
64424,er,31,109,109,096
64425,rn,229,314,307,096
64426,na,94,190,179,096
64427,an,-48,75,48,096
64428,nd,206,286,329,096
64429,de,96,181,176,096
64430,ez,43,133,128,096
64431,le,79,170,164,096
64432,ek,572,698,663,096
64433,ka,119,226,245,096
64434,ai,61,135,168,096
64435,il,213,304,287,096
64436,li,116,195,207,096
64437,i9,385,475,464,096
64438,fe,36,78,116,096
64439,er,36,117,78,096
64440,rn,235,314,316,096
64441,na,37,117,116,096
64442,an,3,79,83,096
64443,nd,187,267,263,096
64444,de,112,195,192,096
64445,ez,-6,76,77,096
64446,le,263,381,343,096
64447,ek,339,421,457,096
64448,ka,112,230,194,096
64449,ai,36,116,154,096
64450,il,264,346,344,096
64451,li,112,192,194,096
64452,i9,490,608,570,096
64453,fe,16,112,106,096
64454,er,37,117,133,096
64455,rn,328,413,408,096
64456,na,24,125,109,096
64457,an,-5,90,96,096
64458,nd,204,294,299,096
64459,de,98,194,188,096
64460,ez,24,120,120,096
64461,le,16,101,101,096
64462,ek,627,707,712,096
64463,ka,194,306,274,096
64464,ai,46,137,158,096
64465,il,222,328,313,096
64466,li,118,204,224,096
64467,i9,355,446,441,096
64468,fe,-21,48,53,096
64469,er,57,137,126,096
64470,rn,252,326,332,096
64471,na,-26,45,48,096
64472,an,70,138,141,096
64473,nd,190,270,258,096
64474,de,67,152,147,096
64475,ez,37,122,122,096
64476,le,-5,85,69,096
64477,ek,402,492,492,096
64478,ka,110,230,200,096
64479,ai,60,140,180,096
64480,il,410,500,490,096
64481,li,140,220,230,096
64482,i9,330,420,410,096
64483,fe,-16,78,78,096
64484,er,47,134,141,096
64485,rn,264,317,351,096
64486,na,46,131,99,096
64487,an,62,152,147,096
64488,nd,207,281,297,096
64489,de,97,180,171,096
64490,ez,15,125,98,096
64491,le,51,142,131,096
64492,ek,475,579,566,096
64493,ka,88,215,192,096
64494,ai,37,111,164,096
64495,il,273,369,347,096
64496,li,120,199,216,096
64497,i9,324,418,403,096
64498,fe,24,109,109,096
64499,er,31,105,116,096
64500,rn,200,285,274,096
64501,na,40,130,125,096
64502,an,-5,80,85,096
64503,nd,212,286,297,096
64504,de,98,173,172,096
64505,ez,31,111,106,096
64506,le,43,155,123,096
64507,ek,439,535,551,096
64508,ka,124,230,220,096
64509,ai,36,110,142,096
64510,il,226,306,300,096
64511,li,110,180,190,096
64512,i9,310,389,380,096
64513,fe,16,112,112,096
64514,er,16,111,112,096
64515,rn,278,361,373,096
64516,na,5,101,88,096
64517,an,38,134,134,096
64518,nd,221,300,317,096
64519,de,112,202,191,096
64520,ez,49,140,139,096
64521,le,6,101,91,096
64522,ek,515,621,610,096
64523,ka,138,276,244,096
64524,ai,167,268,305,096
64525,il,135,423,236,096
64526,li,148,239,436,096
64527,i9,802,904,893,096
64528,fe,16,109,110,096
64529,er,47,109,140,096
64530,rn,234,328,296,096
64531,na,16,109,110,096
64532,an,31,94,124,096
64533,nd,187,265,250,096
64534,de,109,187,187,096
64535,ez,47,141,125,096
64536,le,16,109,94,096
64537,ek,484,593,577,096
64538,ka,156,250,265,096
64539,ai,62,140,156,096
64540,il,265,359,343,096
64541,li,125,203,219,096
64542,i9,280,374,358,096
64543,fe,74,154,116,096
64544,er,36,116,116,096
64545,rn,225,304,305,096
64546,na,37,118,116,096
64547,an,36,116,117,096
64548,nd,566,646,646,096
64549,de,112,192,192,096
64550,ez,74,154,154,096
64551,le,36,116,116,096
64552,ek,339,421,419,096
64553,ka,150,230,232,096
64554,ai,74,116,154,096
64555,il,112,382,154,096
64556,li,265,320,535,096
64557,i9,452,570,507,096
64558,fe,0,78,78,096
64559,er,47,125,125,096
64560,rn,202,280,280,096
64561,na,0,78,78,096
64562,an,47,125,125,096
64563,nd,188,266,266,096
64564,de,94,188,172,096
64565,ez,-16,78,78,096
64566,le,-16,78,78,096
64567,ek,374,468,468,096
64568,ka,109,281,203,096
64569,ai,-15,78,157,096
64570,il,110,344,203,096
64571,li,202,280,436,096
64572,i9,360,438,438,096
64573,fe,-6,76,77,096
64574,er,36,116,118,096
64575,rn,339,418,419,096
64576,na,37,116,116,096
64577,an,3,79,82,096
64578,nd,226,268,302,096
64579,de,112,192,154,096
64580,ez,36,154,116,096
64581,le,37,117,117,096
64582,ek,490,572,570,096
64583,ka,188,306,270,096
64584,ai,112,192,230,096
64585,il,263,345,343,096
64586,li,150,230,232,096
64587,i9,491,571,571,096
64588,fe,23,108,93,096
64589,er,5,80,90,096
64590,rn,232,307,307,096
64591,na,15,117,90,096
64592,an,5,69,107,096
64593,nd,187,251,251,096
64594,de,88,158,152,096
64595,ez,-6,84,64,096
64596,le,16,112,95,096
64597,ek,416,496,512,096
64598,ka,105,238,185,096
64599,ai,26,100,159,096
64600,il,195,275,269,096
64601,li,118,187,198,096
64602,i9,390,486,459,096
64603,fe,6,85,91,096
64604,er,16,105,95,096
64605,rn,225,311,314,096
64606,na,34,119,120,096
64607,an,-10,70,75,096
64608,nd,205,269,285,096
64609,de,72,163,136,096
64610,ez,45,120,136,096
64611,le,43,129,134,096
64612,ek,454,550,540,096
64613,ka,128,245,224,096
64614,ai,80,160,197,096
64615,il,205,290,285,096
64616,li,203,288,288,096
64617,i9,300,379,385,096
64618,fe,11,96,96,096
64619,er,16,101,101,096
64620,rn,196,281,281,096
64621,na,34,118,119,096
64622,an,7,86,91,096
64623,nd,201,265,280,096
64624,de,95,174,159,096
64625,ez,38,118,117,096
64626,le,-5,80,81,096
64627,ek,412,513,497,096
64628,ka,121,228,222,096
64629,ai,44,119,151,096
64630,il,64,295,139,096
64631,li,122,202,353,096
64632,i9,273,364,353,096
64633,fe,-5,85,85,096
64634,er,24,109,114,096
64635,rn,191,286,276,096
64636,na,0,78,95,096
64637,an,31,109,109,096
64638,nd,187,265,265,096
64639,de,94,172,172,096
64640,ez,0,109,78,096
64641,le,0,94,78,096
64642,ek,328,422,422,096
64643,ka,109,234,203,096
64644,ai,16,94,141,096
64645,il,93,312,171,096
64646,li,124,203,343,096
64647,i9,312,406,391,096
64648,fe,16,107,96,096
64649,er,10,76,101,096
64650,rn,239,319,305,096
64651,na,-32,69,48,096
64652,an,54,129,155,096
64653,nd,185,254,260,096
64654,de,97,166,166,096
64655,ez,11,96,80,096
64656,le,16,123,111,096
64657,ek,305,401,412,096
64658,ka,97,251,193,096
64659,ai,-37,54,117,096
64660,il,168,269,259,096
64661,li,123,203,224,096
64662,i9,333,434,413,096
64663,fe,-6,76,77,096
64664,er,36,116,118,096
64665,rn,339,380,419,096
64666,na,37,117,78,096
64667,an,36,78,116,096
64668,nd,226,274,268,096
64669,de,112,192,160,096
64670,ez,36,116,116,096
64671,le,74,154,154,096
64672,ek,415,497,495,096
64673,ka,112,230,194,096
64674,ai,74,154,192,096
64675,il,225,308,305,096
64676,li,149,229,232,096
64677,i9,491,571,571,096
64678,fe,0,94,78,096
64679,er,31,109,125,096
64680,rn,187,265,265,096
64681,na,31,109,109,096
64682,an,16,94,94,096
64683,nd,187,250,265,096
64684,de,93,187,156,096
64685,ez,0,93,94,096
64686,le,15,109,78,096
64687,ek,359,452,453,096
64688,ka,63,203,156,096
64689,ai,16,109,156,096
64690,il,242,332,335,096
64691,li,145,209,235,096
64692,i9,299,384,363,096
64693,fe,0,93,78,096
64694,er,32,110,125,096
64695,rn,265,343,343,096
